"STATION","DATE","ACMC","ACMH","ACSC","ACSH","ADPT","ASLP","ASTP","AWBT","AWDR","AWND","DAEV","DAPR","DASF","DATN","DATX","DAWM","DWPR","EVAP","FMTM","FRGB","FRGT","FRTH","GAHT","MDEV","MDPR","MDSF","MDTN","MDTX","MDWM","MNPN","MXPN","PGTM","PRCP","PSUN","RHAV","RHMN","RHMX","SN01","SN02","SN03","SN11","SN12","SN13","SN14","SN21","SN22","SN23","SN31","SN32","SN33","SN34","SN35","SN36","SN51","SN52","SN53","SN54","SN55","SN56","SN57","SN61","SN72","SN81","SN82","SN83","SNOW","SNWD","SX01","SX02","SX03","SX11","SX12","SX13","SX14","SX15","SX17","SX21","SX22","SX23","SX31","SX32","SX33","SX34","SX35","SX36","SX51","SX52","SX53","SX54","SX55","SX56","SX57","SX61","SX72","SX81","SX82","SX83","TAVG","TAXN","THIC","TMAX","TMIN","TOBS","TSUN","WDF1","WDF2","WDF5","WDFG","WDFI","WDFM","WDMV","WESD","WESF","WSF1","WSF2","WSF5","WSFG","WSFI","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT12","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03","WV07","WV18","WV20","alt","station_info","station_name","time"
"USW00003131","2023-01-11",,,,,,,,,,"   20",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  161","   72",,,,"  310","  300",,,,,,,,"   67","   76",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-12",,,,,,,,,,"    6",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  228","   83",,,,"  340","  340",,,,,,,,"   36","   40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-13",,,,,,,,,,"   11",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  206","   83",,,,"  260","  260",,,,,,,,"   72","   85",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-14",,,,,,,,,,"   38",,,,,,,,,,,,,,,,,,,,,,,"  328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  150","   83",,,,"  210","  200",,,,,,,,"  107","  152",,,,"    1",,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-15",,,,,,,,,,"   26",,,,,,,,,,,,,,,,,,,,,,,"  224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  156","  111",,,,"  220","  220",,,,,,,,"   98","  139",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-16",,,,,,,,,,"   53",,,,,,,,,,,,,,,,,,,,,,,"  300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  144","  100",,,,"  180","  190",,,,,,,,"  112","  152",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-17",,,,,,,,,,"   34",,,,,,,,,,,,,,,,,,,,,,,"   36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  133","   78",,,,"  280","  290",,,,,,,,"   94","  121",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-18",,,,,,,,,,"   17",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  161","   56",,,,"  310","  290",,,,,,,,"   54","   67",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-19",,,,,,,,,,"   20",,,,,,,,,,,,,,,,,,,,,,,"   20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  144","   44",,,,"  290","  230",,,,,,,,"   72","   98",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-20",,,,,,,,,,"   16",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  161","   72",,,,"  290","  320",,,,,,,,"   45","   72",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-21",,,,,,,,,,"   12",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  178","   39",,,,"  320","  310",,,,,,,,"   63","   72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-22",,,,,,,,,,"   17",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  139","   39",,,,"  180","  180",,,,,,,,"   67","   85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-23",,,,,,,,,,"   25",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  167","   44",,,,"  280","  300",,,,,,,,"   81","   98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-24",,,,,,,,,,"   19",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  183","   28",,,,"  310","  320",,,,,,,,"   67","   81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-25",,,,,,,,,,"   18",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  200","   50",,,,"  330","  320",,,,,,,,"   58","   63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-26",,,,,,,,,,"   54",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  200","  100",,,,"   60","   50",,,,,,,,"  130","  157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-27",,,,,,,,,,"   17",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  211","   44",,,,"  310","  300",,,,,,,,"   63","   72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-28",,,,,,,,,,"   34",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  150","   61",,,,"  190","  190",,,,,,,,"   72","   89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-29",,,,,,,,,,"   36",,,,,,,,,,,,,,,,,,,,,,,"    3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  139","   83",,,,"  250","  230",,,,,,,,"   72","  116",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-30",,,,,,,,,,"   22",,,,,,,,,,,,,,,,,,,,,,,"   86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  133","   78",,,,"  210","  210",,,,,,,,"   63","   81",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-01-31",,,,,,,,,,"   14",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  161","   67",,,,"  280","  280",,,,,,,,"   63","   72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-01",,,,,,,,,,"   13",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  183","   39",,,,"  280","  260",,,,,,,,"   54","   67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-02",,,,,,,,,,"   13",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  206","   39",,,,"  270","  330",,,,,,,,"   54","   63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-03",,,,,,,,,,"   14",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  206","   72",,,,"  290","  290",,,,,,,,"   63","   72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-04",,,,,,,,,,"   12",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  206","   56",,,,"  290","  290",,,,,,,,"   58","   72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-05",,,,,,,,,,"   21",,,,,,,,,,,,,,,,,,,,,,,"    3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  167","   78",,,,"  310","  300",,,,,,,,"   63","   81",,,,"    1","    1",,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-06",,,,,,,,,,"   29",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  178","   67",,,,"  330","  300",,,,,,,,"   76","   98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-07",,,,,,,,,,"   17",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  206","   50",,,,"  260","  260",,,,,,,,"   63","   76",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-08",,,,,,,,,,"   15",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  217","   61",,,,"  290","  310",,,,,,,,"   67","   81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-09",,,,,,,,,,"   22",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  261","   67",,,,"   70","   60",,,,,,,,"   76","  103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-10",,,,,,,,,,"   17",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  239","   67",,,,"  340","  300",,,,,,,,"   45","   72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-11",,,,,,,,,,"   27",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  156","   72",,,,"  260","  250",,,,,,,,"   72","   94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-12",,,,,,,,,,"   25",,,,,,,,,,,,,,,,,,,,,,,"  132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  139","   61",,,,"  260","  240",,,,,,,,"   67","   85",,,,"    1",,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-13",,,,,,,,,,"   26",,,,,,,,,,,,,,,,,,,,,,,"   13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  150","   78",,,,"  220","  210",,,,,,,,"   67","   81",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-14",,,,,,,,,,"   43",,,,,,,,,,,,,,,,,,,,,,,"    3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  128","  100",,,,"  240","  230",,,,,,,,"   81","  116",,,,"    1",,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-15",,,,,,,,,,"   26",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  150","   33",,,,"  290","  270",,,,,,,,"   76","   85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-16",,,,,,,,,,"   32",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  172","   22",,,,"   30","   20",,,,,,,,"   89","  143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-17",,,,,,,,,,"   12",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  189","   50",,,,"  300","  300",,,,,,,,"   54","   58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-18",,,,,,,,,,"   11",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  194","   50",,,,"  260","  210",,,,,,,,"   54","   63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-19",,,,,,,,,,"   15",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  172","   44",,,,"  200","  200",,,,,,,,"   67","   85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-20",,,,,,,,,,"   17",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  200","   50",,,,"  340","  300",,,,,,,,"   67","   85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-21",,,,,,,,,,"   43",,,,,,,,,,,,,,,,,,,,,,,"   10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  167","   67",,,,"  260","  260",,,,,,,,"  107","  143",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-22",,,,,,,,,,"   76",,,,,,,,,,,,,,,,,,,,,,,"   18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  122","   67",,,,"  260","  270",,,,,,,,"  148","  188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-23",,,,,,,,,,"   37",,,,,,,,,,,,,,,,,,,,,,,"   56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  122","   72",,,,"  270","  280",,,,,,,,"   94","  125",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-24",,,,,,,,,,"   55",,,,,,,,,,,,,,,,,,,,,,,"   13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  144","   67",,,,"  170","  170",,,,,,,,"  103","  139",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-25",,,,,,,,,,"   44",,,,,,,,,,,,,,,,,,,,,,,"  254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  133","   56",,,,"  200","  170",,,,,,,,"  103","  152",,,,"    1",,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-26",,,,,,,,,,"   22",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  128","   56",,,,"  230","  230",,,,,,,,"   67","   85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-27",,,,,,,,,,"   24",,,,,,,,,,,,,,,,,,,,,,,"   13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  150","   50",,,,"  250","  230",,,,,,,,"   58","   76",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-02-28",,,,,,,,,,"   31",,,,,,,,,,,,,,,,,,,,,,,"   20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  139","   78",,,,"  260","  290",,,,,,,,"   67","   85",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-03-01",,,,,,,,,,"   76",,,,,,,,,,,,,,,,,,,,,,,"  114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  128","   67",,,,"  290","  270",,,,,,,,"  139","  197",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-03-02",,,,,,,,,,"   17",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  150","   17",,,,"  240","  260",,,,,,,,"   58","   67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-03-03",,,,,,,,,,"   11",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  156","   39",,,,"  240","  220",,,,,,,,"   58","   72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-03-04",,,,,,,,,,"   20",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  139","   50",,,,"  220","  230",,,,,,,,"   58","   72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-03-05",,,,,,,,,,"   20",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  156","   78",,,,"  280","  270",,,,,,,,"   72","   89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-03-06",,,,,,,,,,"   19",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  156","   72",,,,"  290","  300",,,,,,,,"   63","   85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-03-07",,,,,,,,,,"   24",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  150","   78",,,,"  320","  310",,,,,,,,"   63","   89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-03-08",,,,,,,,,,"   22",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  144","   56",,,,"  220","  210",,,,,,,,"   67","   89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003131","2023-03-09",,,,,,,,,,"   20",,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  189","   72",,,,"  300","  290",,,,,,,,"   54","   63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
