"STATION","DATE","ARH","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08","WT10"
"USW00003131","2023-01-17",,"   34",,,,"   36",,,,"  133","   78",,"  280","  290","   94","  121",,,,"    1",
"USW00003131","2023-01-18",,"   17",,,,"    0",,,,"  161","   56",,"  310","  290","   54","   67",,,,"    1",
"USW00003131","2023-01-19",,"   20",,,,"   20",,,,"  144","   44",,"  290","  230","   72","   98","    1",,,,
"USW00003131","2023-01-20",,"   16",,,,"    0",,,,"  161","   72",,"  290","  320","   45","   72","    1",,,,
"USW00003131","2023-01-21",,"   12",,,,"    0",,,,"  178","   39",,"  320","  310","   63","   72",,,,,
"USW00003131","2023-01-22",,"   17",,,,"    0",,,,"  139","   39",,"  180","  180","   67","   85",,,,,
"USW00003131","2023-01-23",,"   25",,,,"    0",,,,"  167","   44",,"  280","  300","   81","   98",,,,,
"USW00003131","2023-01-24",,"   19",,,,"    0",,,,"  183","   28",,"  310","  320","   67","   81",,,,,
"USW00003131","2023-01-25",,"   18",,,,"    0",,,,"  200","   50",,"  330","  320","   58","   63",,,,,
"USW00003131","2023-01-26",,"   54",,,,"    0",,,,"  200","  100",,"   60","   50","  130","  157",,,,,
"USW00003131","2023-01-27",,"   17",,,,"    0",,,,"  211","   44",,"  310","  300","   63","   72",,,,,
"USW00003131","2023-01-28",,"   34",,,,"    0",,,,"  150","   61",,"  190","  190","   72","   89",,,,,
"USW00003131","2023-01-29",,"   36",,,,"    3",,,,"  139","   83",,"  250","  230","   72","  116","    1",,,,
"USW00003131","2023-01-30",,"   22",,,,"   86",,,,"  133","   78",,"  210","  210","   63","   81","    1",,,,
"USW00003131","2023-01-31",,"   14",,,,"    0",,,,"  161","   67",,"  280","  280","   63","   72",,,,,
"USW00003131","2023-02-01",,"   13",,,,"    0",,,,"  183","   39",,"  280","  260","   54","   67",,,,,
"USW00003131","2023-02-02",,"   13",,,,"    0",,,,"  206","   39",,"  270","  330","   54","   63",,,,,
"USW00003131","2023-02-03",,"   14",,,,"    0",,,,"  206","   72",,"  290","  290","   63","   72",,,,,
"USW00003131","2023-02-04",,"   12",,,,"    0",,,,"  206","   56",,"  290","  290","   58","   72",,,,,
"USW00003131","2023-02-05",,"   21",,,,"    3",,,,"  167","   78",,"  310","  300","   63","   81","    1","    1",,"    1",
"USW00003131","2023-02-06",,"   29",,,,"    0",,,,"  178","   67",,"  330","  300","   76","   98",,,,,
"USW00003131","2023-02-07",,"   17",,,,"    0",,,,"  206","   50",,"  260","  260","   63","   76",,,,"    1",
"USW00003131","2023-02-08",,"   15",,,,"    0",,,,"  217","   61",,"  290","  310","   67","   81",,,,,
"USW00003131","2023-02-09",,"   22",,,,"    0",,,,"  261","   67",,"   70","   60","   76","  103",,,,,
"USW00003131","2023-02-10",,"   17",,,,"    0",,,,"  239","   67",,"  340","  300","   45","   72",,,,,
"USW00003131","2023-02-11",,"   27",,,,"    0",,,,"  156","   72",,"  260","  250","   72","   94",,,,,
"USW00003131","2023-02-12",,"   25",,,,"  132",,,,"  139","   61",,"  260","  240","   67","   85","    1",,"    1",,
"USW00003131","2023-02-13",,"   26",,,,"   13",,,,"  150","   78",,"  220","  210","   67","   81","    1",,,,
"USW00003131","2023-02-14",,"   43",,,,"    3",,,,"  128","  100",,"  240","  230","   81","  116","    1",,,"    1",
"USW00003131","2023-02-15",,"   26",,,,"    0",,,,"  150","   33",,"  290","  270","   76","   85",,,,,
"USW00003131","2023-02-16",,"   32",,,,"    0",,,,"  172","   22",,"   30","   20","   89","  143",,,,,
"USW00003131","2023-02-17",,"   12",,,,"    0",,,,"  189","   50",,"  300","  300","   54","   58",,,,,
"USW00003131","2023-02-18",,"   11",,,,"    0",,,,"  194","   50",,"  260","  210","   54","   63",,,,,
"USW00003131","2023-02-19",,"   15",,,,"    0",,,,"  172","   44",,"  200","  200","   67","   85",,,,,
"USW00003131","2023-02-20",,"   17",,,,"    0",,,,"  200","   50",,"  340","  300","   67","   85",,,,,
"USW00003131","2023-02-21",,"   43",,,,"   10",,,,"  167","   67",,"  260","  260","  107","  143","    1",,,,
"USW00003131","2023-02-22",,"   76",,,,"   18",,,,"  122","   67",,"  260","  270","  148","  188",,,,,
"USW00003131","2023-02-23",,"   37",,,,"   56",,,,"  122","   72",,"  270","  280","   94","  125","    1",,,,
"USW00003131","2023-02-24",,"   55",,,,"   13",,,,"  144","   67",,"  170","  170","  103","  139","    1",,,,
"USW00003131","2023-02-25",,"   44",,,,"  254",,,,"  133","   56",,"  200","  170","  103","  152","    1",,,"    1",
"USW00003131","2023-02-26",,"   22",,,,"    0",,,,"  128","   56",,"  230","  230","   67","   85",,,,,
"USW00003131","2023-02-27",,"   24",,,,"   13",,,,"  150","   50",,"  250","  230","   58","   76","    1",,,,
"USW00003131","2023-02-28",,"   31",,,,"   20",,,,"  139","   78",,"  260","  290","   67","   85","    1",,,,
"USW00003131","2023-03-01",,"   76",,,,"  114",,,,"  128","   67",,"  290","  270","  139","  197","    1",,,,
"USW00003131","2023-03-02",,"   17",,,,"    0",,,,"  150","   17",,"  240","  260","   58","   67",,,,,
"USW00003131","2023-03-03",,"   11",,,,"    0",,,,"  156","   39",,"  240","  220","   58","   72",,,,,
"USW00003131","2023-03-04",,"   20",,,,"    0",,,,"  139","   50",,"  220","  230","   58","   72",,,,,
"USW00003131","2023-03-05",,"   20",,,,"    0",,,,"  156","   78",,"  280","  270","   72","   89",,,,,
"USW00003131","2023-03-06",,"   19",,,,"    0",,,,"  156","   72",,"  290","  300","   63","   85",,,,,
"USW00003131","2023-03-07",,"   24",,,,"    0",,,,"  150","   78",,"  320","  310","   63","   89",,,,,
"USW00003131","2023-03-08",,"   22",,,,"    0",,,,"  144","   56",,"  220","  210","   67","   89",,,,,
"USW00003131","2023-03-09",,"   20",,,,"    0","    0",,,"  189","   72",,"  300","  290","   54","   63",,,,,
"USW00003131","2023-03-10",,"   17",,,,"  155","    0",,,"  167","   94",,"  190","  180","   54","   76","    1",,,"    1",
"USW00003131","2023-03-11",,"   28",,,,"   18","    0",,,"  167","  139",,"  190","  180","   54","   67","    1",,,,
"USW00003131","2023-03-12",,"   21",,,,"    0",,,,"  189","  128",,"  300","  300","   54","   67","    1","    1",,,
"USW00003131","2023-03-13",,"   22",,,,"    0",,,,"  189","  117",,"  350","  300","   45","   63","    1",,,,
"USW00003131","2023-03-14",,"   19",,,,"   51",,,,"  183","  111",,"  150","  170","   54","   72","    1",,,,
"USW00003131","2023-03-15",,"   43",,,,"  366",,,,"  150","  111",,"  180","  180","  107","  130","    1","    1",,,
"USW00003131","2023-03-16",,"   15",,,,"    0",,,,"  156","   94",,"  250","  220","   54","   72",,,,,
"USW00003131","2023-03-17",,"   22",,,,"    0",,,,"  178","   94",,"  320","  300","   54","   67","    1",,,,
"USW00003131","2023-03-18",,"   15",,,,"    0",,,,"  250","   83",,"  230","  240","   67","   85","    1",,,,
"USW00003131","2023-03-19",,"   27",,,,"   20",,,,"  172","  122",,"  180","  200","   58","   72","    1",,,"    1",
"USW00003131","2023-03-20",,"   36",,,,"    5",,,,"  161","  117",,"  190","  210","   67","   89","    1",,,,
"USW00003131","2023-03-21",,"   53",,,,"  351",,,,"  156","  106",,"  190","  190","  103","  148","    1",,,,
"USW00003131","2023-03-22",,"   35",,,,"   33",,,,"  156","  100",,"  190","  190","   72","   98","    1",,,,
"USW00003131","2023-03-23",,"   34",,,,"   25",,,,"  144","   83",,"  280","  270","   81","   98","    1",,,"    1",
"USW00003131","2023-03-24",,"   26",,,,"    0",,,,"  161","   83",,"  250","  240","   72","  103",,,,,
"USW00003131","2023-03-25",,"   25",,,,"    0",,,,"  161","   67",,"  280","  260","   63","   89",,,,,
"USW00003131","2023-03-26",,"   26",,,,"    0",,,,"  161","   61",,"  290","  280","   67","   94",,,,,
"USW00003131","2023-03-27",,"   20",,,,"    0",,,,"  222","   61",,"  330","  330","   63","   76",,,,,
"USW00003131","2023-03-28",,"   19",,,,"    0",,,,"  206","   94",,"  280","  300","   58","   72",,,,,
"USW00003131","2023-03-29",,"   26",,,,"   84",,,,"  139","   83",,"  280","  210","   81","  103","    1",,,"    1",
"USW00003131","2023-03-30",,"   27",,,,"   33",,,,"  144","   83",,"  230","  240","   89","  116","    1",,"    1",,
"USW00003131","2023-03-31",,"   22",,,,"    0",,,,"  167","   67",,"  330","  280","   63","   81",,,,,
"USW00003131","2023-04-01",,"   21",,,,"    0",,,,"  200","   67",,"  300","  300","   63","   76",,,,,
"USW00003131","2023-04-02",,"   22",,,,"    0",,,,"  172","   83",,"  220","  220","   58","   76","    1",,,"    1",
"USW00003131","2023-04-03",,"   55",,,,"    0",,,,"  150","  106",,"  320","  320","   98","  125","    1",,,,
"USW00003131","2023-04-04",,"   32",,,,"    0",,,,"  150","   50",,"  290","  300","   94","  116",,,,,
"USW00003131","2023-04-05",,"   22",,,,"    0",,,,"  178","   44",,"  300","  300","   67","   89",,,,,
"USW00003131","2023-04-06",,"   19",,,,"    0",,,,"  217","   67",,"  320","  300","   67","   85",,,,,
"USW00003131","2023-04-07",,"   20",,,,"    0",,,,"  206","   83",,"  300","  290","   67","   81",,,,,
"USW00003131","2023-04-08",,"   25",,,,"    0",,,,"  211","   94",,"  290","  290","   67","   85","    1",,,,
"USW00003131","2023-04-09",,"   21",,,,"    0",,,,"  194","  111",,"  290","  300","   54","   67","    1","    1",,"    1",
"USW00003131","2023-04-10",,"   18",,,,"    0",,,,"  222","  106",,"  230","  220","   54","   67","    1","    1",,"    1",
"USW00003131","2023-04-11",,"   22",,,,"    0",,,,"  206","  111",,"  240","  250","   58","   67","    1",,,"    1",
"USW00003131","2023-04-12",,"   33",,,,"   15",,,,"  139","  111",,"  180","  170","   63","   81","    1",,,"    1",
"USW00003131","2023-04-13",,"   34",,,,"   18",,,,"  133","  100",,"  190","  170","   72","   98","    1",,,"    1",
"USW00003131","2023-04-14",,"   24",,,,"    0",,,,"  167","   89",,"  250","  240","   58","   76",,,,,
"USW00003131","2023-04-15",,"   22",,,,"    0",,,,"  189","  106",,"  300","  300","   58","   81",,,,,
"USW00003131","2023-04-16",,"   21",,,,"    0",,,,"  144","  117",,"  300","  310","   45","   54","    1",,,"    1",
"USW00003131","2023-04-17",,"   19",,,,"    0",,,,"  178","  111",,"  310","  310","   45","   58","    1",,,,
"USW00003131","2023-04-18",,"   26",,,,"    0",,,,"  172","  111",,"  230","  340","   67","   89","    1",,,,
"USW00003131","2023-04-19",,"   26",,,,"    0",,,,"  194","   94",,"  290","  300","   67","   89",,,,,
"USW00003131","2023-04-20",,"   21",,,,"    0",,,,"  256","   94",,"  310","  310","   76","   98",,,,,
"USW00003131","2023-04-21",,"   21",,,,"    0",,,,"  306","  122",,"  330","  330","   89","  107",,,,,
"USW00003131","2023-04-22",,"   17",,,,"    0",,,,"  278","  117",,"  240","  240","   54","   63","    1",,,"    1",
"USW00003131","2023-04-23",,"   27",,,,"    0",,,,"  189","  133",,"  260","  250","   63","   76","    1",,,"    1",
"USW00003131","2023-04-24",,"   24",,,,"    0",,,,"  194","  133",,"  240","  240","   54","   81","    1",,,"    1",
"USW00003131","2023-04-25",,"   23",,,,"    0",,,,"  194","  133",,"  260","  240","   63","   81",,,,,
"USW00003131","2023-04-26",,"   27",,,,"    0",,,,"  222","  144",,"  270","  280","   63","   85","    1",,,"    1",
"USW00003131","2023-04-27",,"   18",,,,"    0",,,,"  228","  128",,"  300","  270","   54","   72","    1",,,"    1",
"USW00003131","2023-04-28",,"   17",,,,"    0",,,,"  200","  122",,"  280","  290","   54","   76","    1",,,"    1",
"USW00003131","2023-04-29",,"   19",,,,"    0",,,,"  206","  128",,"  280","  300","   54","   72","    1",,,"    1",
"USW00003131","2023-04-30",,"   24",,,,"    0",,,,"  178","  122",,"  170","  240","   54","   67","    1",,,,
"USW00003131","2023-05-01",,"   36",,,,"    0",,,,"  167","  117",,"  190","  200","   63","   85",,,,,
"USW00003131","2023-05-02",,"   30",,,,"    0",,,,"  172","  111",,"  300","  280","   63","   94",,,,,
"USW00003131","2023-05-03",,"   26",,,,"    5",,,,"  183","   94",,"  270","  250","   72","   94","    1",,,,
"USW00003131","2023-05-04",,"   38",,,,"   13",,,,"  167","  111",,"  260","  190","   72","   98","    1",,,,
"USW00003131","2023-05-05",,"   26",,,,"   13",,,,"  167","  100",,"  320","  320","   58","   72","    1",,,,
"USW00003131","2023-05-06",,"   23",,,,"    0",,,,"  189","   83",,"  300","  290","   72","   89",,,,,
"USW00003131","2023-05-07",,"   24",,,,"    0",,,,"  206","   94",,"  270","  300","   72","  107",,,,,
"USW00003131","2023-05-08",,"   26",,,,"    0",,,,"  200","  122",,"  240","  300","   67","   85",,,,,
"USW00003131","2023-05-09",,"   35",,,,"    0",,,,"  194","  128",,"  270","  260","   72","   98",,,,,
"USW00003131","2023-05-10",,"   30",,,,"    3",,,,"  189","  122",,"  220","  220","   67","   85",,,,,
"USW00003131","2023-05-11",,"   27",,,,"    0",,,,"  200","  139",,"  240","  270","   63","   89",,,,,
"USW00003131","2023-05-12",,"   24",,,,"    0",,,,"  194","  139",,"  250","  240","   63","   89",,,,,
"USW00003131","2023-05-13",,"   22",,,,"    0",,,,"  206","  139",,"  240","  250","   54","   76","    1",,,"    1",
"USW00003131","2023-05-14",,"   23",,,,"    0",,,,"  200","  139",,"  250","  260","   63","   81","    1",,,"    1",
"USW00003131","2023-05-15",,"   27",,,,"    0",,,,"  217","  139",,"  240","  250","   58","   81","    1",,,,
"USW00003131","2023-05-16",,"   25",,,,"    0",,,,"  233","  139",,"  280","  310","   58","   85","    1",,,"    1",
"USW00003131","2023-05-17",,"   21",,,,"    0",,,,"  183","  139",,"  240","  250","   45","   63","    1",,,,
"USW00003131","2023-05-18",,"   22",,,,"    0",,,,"  217","  128",,"  260","  240","   58","   72","    1",,,"    1",
"USW00003131","2023-05-19",,"   20",,,,"    0",,,,"  206","  144",,"  240","  240","   54","   67","    1",,,"    1",
"USW00003131","2023-05-20",,"   23",,,,"    0",,,,"  206","  156",,"  230","  260","   54","   67","    1",,,,
"USW00003131","2023-05-21",,"   24",,,,"    0",,,,"  222","  150",,"  240","  260","   58","   76","    1",,,,
"USW00003131","2023-05-22",,"   19",,,,"    0",,,,"  172","  139",,"  190","  200","   40","   54","    1",,,"    1",
"USW00003131","2023-05-23",,"   20",,,,"    0",,,,"  172","  139",,"  250","  110","   45","   58","    1","    1",,"    1",
"USW00003131","2023-05-24",,"   24",,,,"    0",,,,"  189","  133",,"  230","  270","   54","   72","    1",,,"    1",
"USW00003131","2023-05-25",,"   26",,,,"    0",,,,"  194","  144",,"  250","  240","   67","   85",,,,,
"USW00003131","2023-05-26",,"   31",,,,"    3",,,,"  200","  144",,"  280","  300","   63","   89","    1",,,,
"USW00003131","2023-05-27",,"   36",,,,"    0",,,,"  200","  150",,"  290","  310","   67","   89","    1",,,,
"USW00003131","2023-05-28",,"   21",,,,"    0",,,,"  194","  144",,"  270","  260","   58","   76","    1",,,,
"USW00003131","2023-05-29",,"   23",,,,"    0",,,,"  172","  144",,"  240","  230","   45","   58","    1",,,"    1",
"USW00003131","2023-05-30",,"   27",,,,"    0",,,,"  183","  144",,"  300","  270","   63","   85",,,,,
"USW00003131","2023-05-31",,"   30",,,,"    0",,,,"  178","  133",,"  260","  260","   54","   67",,,,,
"USW00003131","2023-06-01",,"   24",,,,"    0",,,,"  178","  139",,"  240","  260","   45","   67","    1",,,"    1",
"USW00003131","2023-06-02",,"   32",,,,"    0",,,,"  211","  150",,"  290","  290","   58","   81",,,,,
"USW00003131","2023-06-03",,"   21",,,,"    0",,,,"  211","  150",,"  230","  240","   58","   76","    1",,,"    1",
"USW00003131","2023-06-04",,"   23",,,,"    0",,,,"  211","  150",,"  230","  220","   63","   76",,,,,
"USW00003131","2023-06-05",,"   33",,,,"    0",,,,"  189","  144",,"  250","  250","   67","   89",,,,,
"USW00003131","2023-06-06",,"   23",,,,"    0",,,,"  200","  133",,"  260","  250","   58","   94",,,,,
"USW00003131","2023-06-07",,"   26",,,,"    0",,,,"  200","  150",,"  290","  260","   58","   85",,,,,
"USW00003131","2023-06-08",,"   29",,,,"    0",,,,"  206","  150",,"  270","  300","   63","   81",,,,,
"USW00003131","2023-06-09",,"   32",,,,"    0",,,,"  206","  139",,"  300","  280","   63","   85","    1",,,,
"USW00003131","2023-06-10",,"   27",,,,"    3",,,,"  183","  156",,"  270","  230","   45","   63","    1",,,,
"USW00003131","2023-06-11",,"   26",,,,"    3",,,,"  183","  144",,"  260","  250","   58","   72","    1",,,"    1",
"USW00003131","2023-06-12",,"   27",,,,"    0",,,,"  194","  144",,"  280","  290","   63","   81","    1",,,,
"USW00003131","2023-06-13",,"   35",,,,"    0",,,,"  194","  150",,"  290","  300","   67","   85","    1",,,,
"USW00003131","2023-06-14",,"   24",,,,"    0",,,,"  200","  150",,"  290","  280","   63","   85","    1",,,,
"USW00003131","2023-06-15",,"   26",,,,"    0",,,,"  217","  150",,"  240","  220","   63","   85","    1",,,,
"USW00003131","2023-06-16",,"   27",,,,"    0",,,,"  233","  167",,"  310","  310","   63","   85",,,,,
"USW00003131","2023-06-17",,"   33",,,,"    0",,,,"  233","  161",,"  280","  290","   58","   81","    1",,,"    1",
"USW00003131","2023-06-18",,"   24",,,,"    0",,,,"  217","  156",,"  270","  280","   54","   76","    1",,,,
"USW00003131","2023-06-19",,"   25",,,,"    0",,,,"  222","  161",,"  230","  240","   58","   76",,,,,
"USW00003131","2023-06-20",,"   25",,,,"    0",,,,"  250","  150",,"  310","  310","   63","   81",,,,,
"USW00003131","2023-06-21",,"   21",,,,"    0",,,,"  239","  133",,"  240","  240","   58","   76","    1","    1",,"    1",
"USW00003131","2023-06-22",,"   27",,,,"    0",,,,"  200","  144",,"  220","  270","   67","   94",,,,,
"USW00003131","2023-06-23",,"   30",,,,"    0",,,,"  217","  144",,"  300","  290","   67","   85",,,,,
"USW00003131","2023-06-24",,"   26",,,,"    0",,,,"  222","  128",,"  310","  220","   72","  125",,,,,
"USW00003131","2023-06-25",,"   26",,,,"    0",,,,"  222","  156",,"  310","  300","   58","   89",,,,,
"USW00003131","2023-06-26",,"   23",,,,"    0",,,,"  233","  150",,"  300","  320","   63","   85",,,,,
"USW00003131","2023-06-27",,"   23",,,,"    0",,,,"  222","  139",,"  240","  230","   58","   85",,,,,
"USW00003131","2023-06-28",,"   24",,,,"    0",,,,"  206","  150",,"  210","  220","   63","   81",,,,,
"USW00003131","2023-06-29",,"   22",,,,"    0",,,,"  233","  144",,"  240","  280","   58","   89",,,,,
"USW00003131","2023-06-30",,"   21",,,,"    0",,,,"  250","  161",,"  310","  300","   54","   76","    1",,,"    1",
"USW00003131","2023-07-01",,"   24",,,,"    0",,,,"  244","  167",,"  240","  240","   63","   76","    1",,,"    1",
"USW00003131","2023-07-02",,"   21",,,,"    0",,,,"  261","  156",,"  300","  310","   54","   67","    1",,,"    1",
"USW00003131","2023-07-03",,"   22",,,,"    0",,,,"  244","  156",,"  320","  260","   45","   67","    1",,,"    1",
"USW00003131","2023-07-04",,"   24",,,,"    0",,,,"  250","  150",,"  230","  240","   58","   67","    1",,,"    1",
"USW00003131","2023-07-05",,"   26",,,,"    0",,,,"  244","  150",,"  240","  250","   63","   76","    1",,,"    1",
"USW00003131","2023-07-06",,"   21",,,,"    0",,,,"  222","  144",,"  230","  240","   63","   81","    1",,,"    1",
"USW00003131","2023-07-07",,"   20",,,,"    0",,,,"  222","  156",,"  250","  260","   58","   85",,,,,
"USW00003131","2023-07-08",,"   24",,,,"    0",,,,"  222","  161",,"  250","  210","   63","   89",,,,,
"USW00003131","2023-07-09",,"   25",,,,"    0",,,,"  239","  161",,"  310","  290","   54","   76",,,,,
"USW00003131","2023-07-10",,"   21",,,,"    0",,,,"  261","  172",,"  240","  260","   54","   67","    1",,,"    1",
"USW00003131","2023-07-11",,"   21",,,,"    0",,,,"  300","  161",,"  240","  250","   45","   76","    1",,,"    1",
"USW00003131","2023-07-12",,"   27",,,,"    0",,,,"  322","  194",,"  300","  290","   58","   76",,,,"    1",
"USW00003131","2023-07-13",,"   25",,,,"    0",,,,"  328","  200",,"  290","  300","   63","   85",,,,,
"USW00003131","2023-07-14",,"   22",,,,"    0",,,,"  283","  183",,"  220","  240","   54","   63","    1",,,,
"USW00003131","2023-07-15",,"   20",,,,"    0",,,,"  256","  183",,"  240","  230","   45","   72",,,,,
"USW00003131","2023-07-16",,"   21",,,,"    0",,,,"  261","  178",,"  200","  220","   58","   76","    1",,,"    1",
"USW00003131","2023-07-17",,"   18",,,,"    0",,,,"  306","  194",,"  210","  220","   54","   72","    1",,,"    1",
"USW00003131","2023-07-18",,"   24",,,,"    0",,,,"  300","  189",,"  240","  260","   58","   76","    1",,,"    1",
"USW00003131","2023-07-19",,"   26",,,,"    0",,,,"  300","  189",,"  290","  280","   54","   76","    1",,,"    1",
"USW00003131","2023-07-20",,"   23",,,,"    0",,,,"  300","  183",,"  230","  240","   58","   72","    1",,,"    1",
"USW00003131","2023-07-21",,"   23",,,,"    0",,,,"  278","  178",,"  190","  200","   54","   67","    1","    1",,"    1",
"USW00003131","2023-07-22",,"   19",,,,"    0",,,,"  267","  178",,"  280","  280","   54","   63","    1",,,"    1",
"USW00003131","2023-07-23",,"   20",,,,"    0",,,,"  244","  178",,"  310","  300","   54","   63","    1",,,"    1",
"USW00003131","2023-07-24",,"   23",,,,"    0",,,,"  283","  183",,"  240","  250","   58","   72","    1","    1",,"    1",
"USW00003131","2023-07-25",,"   17",,,,"    0",,,,"  306","  178",,"  230","  240","   45","   63","    1","    1",,"    1",
"USW00003131","2023-07-26",,"   20",,,,"    0",,,,"  322","  200",,"  240","  240","   54","   67",,,,"    1",
"USW00003131","2023-07-27",,"   23",,,,"    0",,,,"  289","  189",,"  250","  230","   58","   76","    1","    1",,"    1",
"USW00003131","2023-07-28",,"   20",,,,"    0",,,,"  256","  183",,"  210","  210","   72","   94","    1",,,"    1",
"USW00003131","2023-07-29",,"   23",,,,"    0",,,,"  306","  200",,"  200","  240","   63","   85","    1",,,"    1",
"USW00003131","2023-07-30",,"   22",,,,"    0",,,,"  311","  200",,"  180","  200","   67","   81","    1",,,"    1",
"USW00003131","2023-07-31",,"   18",,,,"    0",,,,"  283","  206",,"  210","  210","   54","   67","    1",,,"    1",
"USW00003131","2023-08-01",,"   22",,,,"    0",,,,"  300","  206",,"  220","  240","   67","   81",,,,,
"USW00003131","2023-08-02",,"   27",,,,"    0",,,,"  306","  200",,"  310","  300","   63","   89","    1",,,"    1",
"USW00003131","2023-08-03",,"   23",,,,"    0",,,,"  256","  178",,"  230","  230","   58","   81",,,,"    1",
"USW00003131","2023-08-04",,"   24",,,,"    0",,,,"  267","  172",,"  250","  240","   54","   72",,,,,
"USW00003131","2023-08-05",,"   23",,,,"    0",,,,"  272","  178",,"  230","  250","   63","   76","    1",,,"    1",
"USW00003131","2023-08-06",,"   14",,,,"    0",,,,"  278","  172",,"  240","  250","   45","   63","    1",,,"    1",
"USW00003131","2023-08-07",,"   23",,,,"    0",,,,"  289","  161",,"  210","  190","   63","   81","    1","    1",,"    1",
"USW00003131","2023-08-08",,"   18",,,,"    0",,,,"  294","  194",,"  250","  220","   58","   67",,,,,
"USW00003131","2023-08-09",,"   24",,,,"    0",,,,"  272","  206",,"  220","  250","   58","   76",,,,,
"USW00003131","2023-08-10",,"   30",,,,"    0",,,,"  256","  200",,"  240","  240","   63","   89",,,,,
"USW00003131","2023-08-11",,"   27",,,,"    0",,,,"  244","  194",,"  310","  250","   58","   76",,,,,
"USW00003131","2023-08-12",,"   25",,,,"    0",,,,"  261","  189",,"  260","  240","   63","   85",,,,,
"USW00003131","2023-08-13",,"   26",,,,"    0",,,,"  256","  189",,"  220","  300","   58","   76",,,,,
"USW00003131","2023-08-14",,"   24",,,,"    0",,,,"  261","  189",,"  290","  280","   58","   89","    1",,,"    1",
"USW00003131","2023-08-15",,"   33",,,,"    0",,,,"  272","  183",,"  300","  300","   58","   76","    1",,,"    1",
"USW00003131","2023-08-16",,"   33",,,,"    0",,,,"  300","  194",,"  320","  320","   72","   85","    1",,"    1","    1",
"USW00003131","2023-08-17",,"   24",,,,"    0",,,,"  289","  183",,"  290","  280","   58","   94","    1",,,"    1",
"USW00003131","2023-08-18",,"   26",,,,"    0",,,,"  272","  178",,"  290","  300","   54","   72","    1",,,"    1",
"USW00003131","2023-08-19",,"   27",,,,"    0",,,,"  256","  178",,"  200","  190","   58","   76","    1",,,"    1",
"USW00003131","2023-08-20",,"   52",,,,"  546",,,,"  244","  183",,"  180","  180","  107","  148","    1",,,,
"USW00003131","2023-08-21",,"   25",,,,"    0",,,,"  233","  178",,"  160","  170","   67","   89","    1",,,"    1",
"USW00003131","2023-08-22",,"   33",,,,"    0",,,,"  261","  183",,"  340","  290","   67","  103",,,,,
"USW00003131","2023-08-23",,"   24",,,,"    0",,,,"  267","  183",,"  280","  290","   54","   76",,,,,
"USW00003131","2023-08-24",,"   27",,,,"    0",,,,"  256","  178",,"  280","  300","   63","   94","    1","    1",,,
"USW00003131","2023-08-25",,"   29",,,,"    0",,,,"  261","  172",,"  310","  300","   58","   76","    1",,,"    1",
"USW00003131","2023-08-26",,"   34",,,,"    0",,,,"  278","  172",,"  310","  290","   63","   81","    1",,,"    1",
"USW00003131","2023-08-27",,"   26",,," 1335","    0",,,,"  317","  172",,"  310","  300","   63","   81",,,,,
"USW00003178","2023-01-01",,"   55",,,,"  295",,,,"  144","  106",,"  270","  270","  107","  157","    1",,,"    1",
